,title,plot
907,Sri Shirdi Saibaba Mahathyam,"Sadguru Sai Baba of Shirdi lived in British India. He was initially shunned by both Hindus and Muslims, especially by Hindu Bal Bhate. Sai was a Muslim and Bal Bhate forbade him to enter any Temple. Rohila, a Muslim, who thought Sai was desecrating the local Masjid by performing Hindu prayers and incantations, attempted to kill Sai. Then he saw both the Allah and Bhagwan in Sai and became a devotee. When Sai was ready to give up his body and resurrect himself after 3 days, just like Lord Jesus, a disbelieving Bal had wanted Sai's body to be cremated within 24 hours - only to find out that Sai had indeed risen, and also became his devotee.
Bhagoti, a leper, who was cured by Sai became his follower. Though Sai had no relations, he did call Tatya's mother his sister; Tatya his maternal nephew; a devotee named Laxmi as his daughter, and an elderly woman as his mother. Sai displayed his true form and opulence to another devotee, Nana Chandorkar. Sai lived in a rebuilt Masjid and urged his devotees to pray to God, as the Creator and to love and respect all living beings. He begged for alms daily so that he could collect sins and wash them away.
He always uttered ""Allah Bhala Kare"" and ""Bhagwan Bhala Kare"" to both Muslims and Hindus alike. He appeared in a multitude forms to his devotees (Lord Jesus, Guru Nanak Devji, Allah, Bhagwan Shri Ganesh) to cater to the various tastes of devotees. Sai was also fond of Nanavli, a mentally challenged devotee, who often challenged Sai. He was one of the few who really understood and accepted Sai as Vishnu's Avatar. Sai appeared simultaneously in a wealthy man's and Nana's dreams and called upon them to construct a Mandir of Bhagwan Shri Krishna. While the construction was under way, Sai prophesied the death of Tatya. Shortly thereafter while bequeathing the nine coins symbolizing nine virtues to Laxmi (which depict Sravan, Kirtan, Smaran, Padaseva, Archana, Namaskar, Dastan, Samveta and Atmanivrdan) Sai was ready to demonstrate to his devotees why they should not worry about Tatya's impending demise."
908,Srimadvirat Veerabrahmendra Swami Charitra,"The film begins with a brief life of Gautama Buddha, Ramanuja, Adi Shankara & Vemana. Next, it shifts to Sri Madvirat Potuluri Veerabrahmam Swamy a futurist whose parents Paripurnacharya & Prakrutamba dies in a flash of his birth. Whereupon, he is adopted by a couple Veerabhojacharya & Veerapapamamba. At the age of 10, his foster father also passes away when he quits his mother. Before leaving, he teaches her the secret of life, the delivery process, and their debt has been completed. Years roll by, and Veerabrahmam as a wanderer reaches a village Banaganapalli, and turns into a cowherd at Achamma. Day-to-day he keeps his stick as a protector when the palm tree itself bows its head down to befit as a source for him. On the benefit of the doubt, Achamma is behind him. Hither, she spots Veerabrahmam sculpting his scripture Kaalagynanam which proclaims how the country will be after 5000 years of Kaliyuga. 
Especially, the destruction of the caste system, British Empire occupying the country, the birth of Mahatma Gandhi to relieve them from slavery, and the existence of the modern woman. Consequently, he buries his scripture, covers it with a tamarind plant, and says that at the end of Kaliyuga it will shower blood & flourishes yellow flowers when he will arrive as Veera Bhoga Vasanta Rayalu to establish piety. Next, Veerabrahmam continues his journey and lands at a new location, molding himself as a blacksmith. Soon, he constructs a house and conducts almsgiving every day beyond castes. Further, he nuptials a benevolent Govindamma and is blessed with progeny. It begrudges a few sly men Karanam & Munasab of the village and puts fire to his house. Plus, they command them to perform worship & processions in name of God and order Veerabrahmam to model the chariot in one night. Anyhow, he does so with his spiritual power which punishes the evil who comes to an understandable state by Veerabrahmam's magnanimous.
Besides, Sayyad an ambitious Muslim guy endears his maternal uncle’s daughter Raziya and the elders decide to knit them. At that point, he is perplexed by witnessing several disabled people and is desperate. Forthwith, he gets enlightenment from Veerabrahmam to know the meaning of life. Then, Sayyad proceeds to him forsaking all and Veerabrahmam receives him as a disciple titling him Siddha. Sensing it, Sayyad’s uncle complices with the Nawab against Veerabrahmam and he organizes a judicial inquiry. Whereupon, Sayyad announces that there are no boundaries for devotion which merges as universal love. Subsequently, he triumphs in onerous tasks when amazed Nawab invites Veerabrahmam. In what respect, he forecasts a diverse newfangled i.e., occurrence of so-called saints, unions in all fields & strikes for a trifle, currency dominating the world, dirty politics, atrocities going to happen in modern society, destruction of temples, division of Pakistan and clashes at Kashmir. Moreover, the formation of dams, trains, aircraft, current, radio, television, etc. 
Later, Veerabrahmam moves forward with Siddha when the various aristocracy heckles him whom he locks by showing his marvel. All along the line, Siddha stands as his top pupil. Parallelly, Veerabrahmam forgoes his preachings viz drowning of Hyderabad, draughts, tsunami effects, communism, gold rate hikes, 6 years girl giving birth to a boy, actors transforming into elders, etc. As well as, he provides knowledge of Kundalini the seven wheels in the human body before scheduled caste people Harijans. Presently, Veerabrahmam affirms to take salvation Sajeeva Samadhi i.e., buried alive. Here, he runs a test on Siddha's adoration by entrusting him to get flowers for his prayer from Banaganapalli on one impossible night. Nevertheless, Siddha victories it with his allegiance. By the time, he backs Veerabrahmam takes salvation when Siddha woes before his sepulcher. At last, Veerabrahmam spells to Siddha by declaring him as his heir and asks him to continue his mission by getting espoused. He will get salvation by reincarnation as Bala Yogi and endorses him with his shoes, & personal effects for the memories of his great service. Finally, the movie ends on a happy note."
909,Srinatha Kavi Sarvabhoumudu,"Srinatha was born to Bhimamba and Marayya in 1365. He is respected as Kavi Sarvabhouma (King of poets) and is being patronized by many kings including the Kondavidu Reddys, Velamas of Rachakonda, and Deva Raya II of the Vijayanagara Empire. Even though he is married, Srinatha is in awe of a woman's beauty and dedicates his poems to praise their beauty. Srinatha dedicates a host of books to kings and enjoys a luxurious life. Srinatha works as a minister in the court of Pedakomati Vema Reddy of Kondaveedu. He manages to get his king's prestigious knife, Nandikanta Potaraju Katari, which was taken away by Lingamanedu, ruler of Devarakonda in return for his literary prowess. Srinatha marries another poet, Potana's sister Sridevi."
910,Super 30 (film),"The movie begins with Fugga, a successful person, giving a talk in London. Fugga recalls his experience of learning from his teacher, Anand Kumar.
The scenes go back in time to show a younger Anand in college. Anand is a lower-class student who has a passion for studies and is good at it. At a local competition felicitation, the local minister, Shriram Singh, proud of him, promises to help whenever needed.
Anand frequently goes to Banaras Hindu University's library to learn mathematics by solving problems in a foreign Math journal. One day, the library supervisor finally catches him and says that he has no right to read there. One staff member suggests he get his article published in this journal and earn a free lifetime subscription to it. Anand goes to the post office, where his father Rajendra works as the head, and posts a letter regarding the solution to a difficult Math problem that no one has been able to solve yet. He then gets featured in the journal for solving the problem and gets a letter from Professor Richard of the University of Cambridge to join a program there.
Anand's family supports him completely, but the family has not enough money for him to travel to England. Anand and Rajendra go to the minister Shriram Singh for help, but he denies any such promise. Anand tries to show his medal as proof and a reminder of Shriram's word of honor, but still does not get the money. They both try to collect money but remain helpless. The same night, Rajendra has a heart attack and passes away while his sons rush him to the hospital. Anand refuses to go to Cambridge due to his father's death and their financial condition.
He then sells papads in the city to add income to the family. One day, he meets Lallan Singh, an [crony\servant] of Shriram Singh, who runs a high-profile coaching center. Lallan takes Anand in as a teacher in 'Excellence Coaching Centre'. This helps Anand financially and also earns him praise for his teaching. One fateful day, Anand sees the plight of a boy who had to leave due to poverty. Recalling Rajendra's words, he realizes that these poor kids also have a right to study. Eventually, he leaves the coaching center and starts separate tuition for poor kids in which he enrolls 30 kids at a time. Unfortunately, this hurts him financially and also costs him the support of his love interest, Supriya. But he decides, nonetheless, to teach the kids in an enthusiastic and practical manner by clearing concepts in an easy and fun way. All this enrages Lallan, whose center is facing criticism for not retaining Anand.
Lallan, in an effort to bring back Anand, tries to give free geometry boxes to Anand's center but does not succeed. He challenges Anand to a duel, in which Lallan's students and Anand's students write the same exam, and the coaching center with the lowest average score would be closed. The exam happens. In a ceremony announcing the results of the exam, Anand's students are devastated to know that they lost. To present the papers, which Anand signed before the competition, Lallan invites Supriya, and her husband Purshottam an IAS officer, which shocks Anand. However, the papers are not found, which spurs Anand to deny such claims of him signing the papers. It is later revealed that Supriya hid the papers, meaning that she understood Anand's decision to tutor poor kids.
While in course of the tuition, Anand gets immense help from his brother Pranav and his mother Jayanti. Lallan and Shriram plot to have Anand and the students killed so that his kids won't take the Indian Institute of Technology exam (IIT-JEE). Anand is hurt brutally by two of Lallan's henchmen and is hospitalized, on the verge of death. He tells his students to use their knowledge to defeat the goons sent by Shriram, while he is being treated. The students, in unity, use their knowledge of different concepts and subjects and defeat the goons. Anand is treated successfully and recuperates. A few months later the students take the IIT exam and all 30 of them crack it successfully."
911,Surya Puthri,"On a festival day, Sage Narada (Master Rajagopal) meets the Sun God, also known as Surya, (Kothamangalam Subbu) and sings praises of him. He is accosted by Thailakethu, The king of Yakshas (K. S. Gopalakrishnan), who does not like Narada praising the Sun God. He is upset and decides to teach Narada a lesson. Thapathi (K. R. Chellam) is the daughter of the Sun God, and she falls in love with King Samvaran (Kothamangalam Seenu), even without meeting him. The Yakshas King is in love with her. So, he tries to blackmail her into giving up the king. The King's first wife Sulochanan (T. R. Rajakumari) undertakes several sacrifices to save her husband. She also prays to the Sun God, and after being helped by Narada, the evil designs of the Yakshas King are destroyed. The King marries Thapathi and they all live happily thereafter."
912,Swami Vivekananda (1955 film),"The eventful life of Swami Vivekananda, his teachings, thoughts, contribution towards society and his relation with his teacher Ramakrishna Paramahamsa are shown in this film. The film has captured different events from his life starting from his childhood days to his college days, meeting with his master Ramakrishna at Dakshineswar, relationship with Ramakrishna, austerities undertaken by him and other monastic disciples of Ramakrishna, etc."
913,Swami Vivekananda (1998 film),"The film mainly captures the events of Vivekananda's life from his birth to 1897, when he returned to India from the West. The film begins with the birth of Narendranath Datta (pre-monastic name of Swami Vivekananda) and shows the neighbours and relatives of Datta family celebrating the event. It immediately moves to the scene where Narendranath sees his father Vishwanath Datta is donating money, clothes, food to poor and distressed people. Seeing this, young Narendranath asks his father to give him something too, and his father tells him to go and look in a mirror and find what he had already given him. Following his father's suggestion, Narendranath goes to the room, sees his image in the mirror.
Different events of child Narendranath are shown one by one, such as his mother is melodiously reciting religious scriptures which leaves an impression on his young mind, Narendranath practising meditation, his mother is teaching him that experience is true knowledge, and his interest in studying a wide range of subjects.
Young Narendranath attends college, where he gets acquainted with European literature and contemporary social and religious movements. He also joins Brahmo Samaj. But there he finds that the leader, who is suggesting others to resist child marriage, is himself organising his minor daughter's marriage with a wealthy person. Narendranath goes to Debendranath Tagore and asks him if he has seen God. Tagore confesses that he did not have that experience, and also tells Narendranath that he had Yogi's eyes.
Narendranath meets Ramakrishna in a friend's house, where Narendranath sings a devotional song Bina Prem Dhiraj Nahi. Narendranath's song impresses Ramakrishna, who asks him to visit Dakshineswar Kali Temple, where Ramakrishna was based. Following Ramakrishna's invitation, Narendranath visits Dakshinewsar. The relation between Ramakrishna and Narendranath have been shown with great details. Narendranath initially rejects Ramakrishna, but gradually accepts him as his master. Ramakrishna teaches him the true meaning of religion and how one can find God.
After the death of Ramakrishna, Narendranath takes formal monastic vow, becomes a Sannyasi and a wandering monk. In Alwar, he meets Raja Mangal Singh, whom he tells Hindu's idol-worship is actually a symbolic form of worship.
In 1893, Vivekananda goes to Chicago to attend the Parliament of the World's Religions. There he gets tremendous success. The story of the film quickly moves to 1897, when Vivekananda returns to India. The film ends with a long English speech of Vivekananda in which he describes his ideals, objectives of Hinduism and prays for world-peace and fraternity."
914,Swamiji (film),"The documentary begins with a slide show of an old pictorial book displaying black and white original scenes of 1893 World's Columbian Exposition, Chicago and Swamiji at the Parliament of the World's Religions delivering his famous speech starting with ""Sisters and brothers of America"". As the audience gives a standing ovation, a gust of wind flipped the pages to the beginning of the storybook, where pictures come to life with bright multi-colored laser animation and 3D effects. The documentary included several of the major stages in Swami Vivekananda's life including his birth, youth, meeting with his spiritual leader Sri Ramakrishna, taking his monastic vows, traveling across India as a penniless, itinerant monk, traveling to the United States as the first Hindu monk to speak at the Parliament of the World's Religions, introducing yoga, lecturing around the United States and other countries, founding the Ramakrishna Mission, and ultimately leaving behind a huge legacy."
915,Swathi Thirunal (film),The story begins with Gowri Lakshmi Bayi entrusting the four-month-old Swathi Thirunal Rama Varma to the care of the English East India Company whose representative was Col. Munro. Then it cuts to when Swathi Thirunal is sixteen and takes over the reins of Travancore from his aunt Gowri Parvati Bayi. Swathi Thirunal's biography is then shown against the backdrop of the music that he himself has composed. The movie ends with his death in 1846.
916,Taj Mahal (1963 film),"It was at the Meena Bazar that Shehzada Khurram first laid eyes on Arjuman Banu. When their eyes met, it was love at first sight for both of them. When Queen Noor Jehan, one of the wives of Shahenshah Jehangir, finds out she is enraged, as she wants Khurram to marry her daughter, Ladli Banu, even though Arjuman is her niece. She plots to hold Arjuman as a prisoner in her palace, but in vain; then she attempts to have Khurram sent away to battle - again in vain, as Khurram returns triumphant, and is named 'Shah Jehan'. Then she has her step-son, Saifuddin, arrange to kill Khurram - again in vain. Khurram gets stabbed but with Arjuman's help he recovers, returns home, but does not tell his father, fearing for his health. When Jehangir hears of Arjuman's assistance, he gladly arranges their marriage, while Saifuddin ends up marrying Ladli. Then Khurram is sent away to another kingdom, leaving Noor Jehan to plot against him. When Jehangir falls ill, she takes over the reins, has Khurram declared an intruder and sends her armies to bring him in or alternatively his two sons. Watch as events unfold, which will ultimately lead to the building of one of the seven wonders of the world - The Taj Mahal."
917,Tansen (film),"Tansen becomes orphan at a very young age and lives with his paternal uncle. He goes to a music teacher to learn music and returns to his native village after many years of training. In the village, the shepherdess Tani is considered a gifted singer, and Tansen falls in love with her. Tani rescues an elephant and Tansen tames it by his singing. This captures the attention of Raja Ramchandra, of Rewa State. He becomes Tansen's friend. At the same time in Agra, the Mughal emperor Akbar regrets that there is no musician in his navratnas. Akbar sends a few of his workers to the countryside to find  the best musician. While his workers are searching, they come across Tansen, who while singing for Tani brings a leafless tree to bloom. The workers are overwhelmed at this and ask Tansen to go to the court of Akbar along with them. Tansen refuses at first by saying that he will sing for no one other than his sweetheart Tani. After repeated persuasions, he finally agrees to go to Agra where he enthralls Akbar by his singing. Akbar appoints him as one of his navratnas. The other musicians in the royal court see this move as a threat to their reputation and status in the court.
On Akbar's birthday, Tani goes to Agra to meet Tansen and in order to meet her, Tansen refuses to sing on the king's birthday. Upon meeting Tani, Akbar tells her that Tansen is married and asks her to leave. He does so thinking that a broken heart will inspire even better music from Tansen. When Akbar later asks Tansen to sing, he refuses to do so saying that he would accept even the death penalty, but would not sing. One of the court musicians, Zehen Khan tells Akbar and his sick princess that the Deepak raag has the magic of igniting things. Akbar asks Tansen to sing the Deepak raag, but again he refuses. Finally, on repeated persuasions by the sick princess, Tansen agrees to sing. Tansen ignites the candles placed near him when he is singing. He continues singing in extreme heat and gets badly burnt. When Akbar learns from Azam Khan (the court physician) that Zehen Khan and the other court musicians were plotting against Tansen, he orders the arrest of them all. Meanwhile, Tansen's condition worsens. Birbal, the court philosopher suggests to Akbar that a singer who can sing the Malhar raag (known for bringing heavy rain) should be searched for. Akbar himself searches for such a singer, but is unable to find one. The dying Tansen wishes to meet his friend Raja Ramchandra. Along the way to his village Tansen meets Tani near a fountain and she heals him by singing the Megh Malhar raag."
918,Tenali Ramakrishna (film),"Ramakrishna is a poet and scholar in the Telugu and Sanskrit languages whose talent is not recognized in his hometown Tenali. To earn a living, he migrates to Hampi with his wife Kamala and son Madhava. On his way to Hampi, he stops at a Kali temple. He is initially terrified looking at the goddess' idol and the animal sacrifices made to please her. That night, Kali appears before him and grants a boon: he must choose either wisdom or wealth. Ramakrishna opts for both, which angers Kali. She warns him that he might end up as a Vikatakavi (clownish poet) whose wisdom is useful solely for entertaining others. Ramakrishna accepts this as a blessing and asks Kali to save him from further dangers. The goddess agrees and disappears.
Ramakrishna reaches Hampi and approaches Tatacharya, the royal priest of the Vijayanagara Empire, to find employment in the court of King Krishnadevaraya. Neither Tatacharya nor his assistants help him, and he leaves dejected. However, he finds an opportunity when Krishnadevaraya is unable to distribute 17 elephants among three brothers as instructed in their deceased father's will. Ramakrishna solves the problem and Krishnadevaraya appoints him as a member of the court. With his wit and loyalty, Ramakrishna soon earns the respect of all the court's members except for Tatacharya who sees him as a problem.
The Deccan sultanates of Berar—Ahmednagar, Bidar, Bijapur, and Golconda—decide to wage a war on the Vijayanagara empire with united military forces. They send Kanakaraju, a spy, to Hampi where he meets Ramakrishna, who happens to be a distant relative. A few days later, Kanakaraju tries to assassinate Krishnadevaraya and Tatacharya blames Ramakrishna for giving shelter to a spy. As Ramakrishna is about to be executed on the King's orders, he overhears a conversation between another spy and the court's astrologer. The spy bribes the astrologer to influence Krishnadevaraya to postpone the war on Bijapur so they have time to make proper preparations. Ramakrishna escapes and meets Prime Minister Timmarusu who helps him reveal the astrologer's intentions. The astrologer is killed and Tatacharya, who believed in him in good faith, is accused of trying to backstab the king. Ramakrishna intervenes and Tatacharya is saved, improving their relationship.
The Bahmani Sultanate then sends the courtesan Krishnasani to Hampi. With her acclaimed dancing skills, she manages to attract the attention of Krishnadevaraya, who finds himself besotted by her wit and sensuousness. He issues orders that anyone who enters his private chamber will be beheaded and spends time with Krishnasani for months. Timmarusu and Ramakrishna learn that the Sultans are planning to take advantage of the King's inaccessibility and will soon launch a combined attack on Hampi. Worried about the state of affairs, Ramakrishna ignores the King's order and enters his abode dressed as a woman, but he is ignored and expelled from the kingdom.
Meanwhile, Krishnadevaraya's wife Tirumala Devi falls seriously ill, and he finally realizes his mistakes. Once the King is back at his palace, Ramakrishna manages to enter Krishnasani's chamber again, this time under the guise of a saint. He catches her red-handed with her gang of spies, and signals to the hidden soldiers to surround her. She kills herself preferring a dignified death. Ramakrishna wishes to leave for Delhi to convince Emperor Babur not to send his elephantry to support the Sultanate in the war.
Ramakrishna reaches Delhi and meets Babur in the guise of an aged fakir. He sings his praises until he empties all the gold coins Babur has. Babur invites him to his palace to gift him properly. Ramakrishna goes to Babur's palace. He introduces himself as one of the innocent citizens of the Vijayanagara empire who will suffer if Babur extends his support to the unjust Sultanate. Babur is convinced and calls his elephantry back. Dismayed at the sudden turn of events, the Sultanate calls off the war. Krishnadevaraya learns about Ramakrishna's efforts in stopping the war from Timmarusu. Remorseful, Krishnadevaraya invites Ramakrishna to rejoin the court; he gladly agrees."
919,Tenali Raman (film),"Raman is a poet and scholar whose talent is not recognised in his hometown Tenali. To earn a livelihood, he migrates to Hampi along with his wife Kamala and son Madhava. On his way to Hampi, he halts at a Kali temple where he is initially terrified looking at the goddess' idol and the animal sacrifices made to please her. That night, Kali appears before him and grants a boon: he would have to choose either wisdom or materialistic wealth. Raman opts for both, which angers Kali who warns that he might end up as a clownish poet whose wisdom is solely useful for entertaining others. Raman accepts it as a blessing and requests Kali to save him from further dangers, to which the goddess agrees and disappears.
Raman reaches Hampi and approaches Rajaguru, the royal priest of the Vijayanagara empire to find employment in the court of king Krishnadevaraya. Neither Rajaguru nor his assistants help him and he returns dejected. However, he finds an opportunity when Krishnadevaraya is unable to distribute 17 disputed elephants among three brothers as per their deceased father's will. Raman solves the problem and Krishnadevaraya appoints him as a court member. With his wit and loyalty, Raman soon earns the respect of all the court members, except Rajaguru who sees him as a problem.
The Deccan Sultans of Berar, Ahmednagar, Bidar, Bijapur, and Golconda decide to wage a war on Vijayanagara empire with united military forces. They send Kanakaraju, a spy, to Hampi where he meets Raman, who happens to be his distant relative. Some days later, Kanakaraju tries to assassinate Krishnadevaraya and Rajaguru blames Raman for giving shelter to a spy. As Raman is about to be killed as per the king's orders, he overhears a conversation between another spy and the court's astrologer. The spy bribes the astrologer to influence Krishnadevaraya in postponing the war on Bijapur so that they can have time for proper preparations. Raman escapes and meets Appaji with whose help he reveals the astrologer's intentions. The astrologer is killed and Rajaguru, who believed in him with good faith, is accused of trying to back stab the king. Raman intervenes and Rajaguru is saved, which improves their relation.
The Bahmani Sultanate then send courtesan Krishna to Hampi. With her acclaimed dancing skills, she manages to elicit the notice of Krishnadevaraya, who finds himself besotted by her wits and sensuousness. He issues orders that anyone who enters his private chamber would be beheaded and continues to spend with time with  Krishna for months. Appaji and Raman learn that the Sultans are planning to take advantage of the King's inaccessibility and shall launch a combined attack on Hampi soon. Worried at the state of affairs, Raman braves the prohibitory order and enters  Krishna's abode dressed as a woman, but is ignored and expelled from the kingdom.
Meanwhile, Krishnadevaraya's wife Thirumalambal falls seriously ill, and he finally realises his mistakes. Once the King is back at his palace, Raman manages to gain entry into  Krishna's chamber again, this time under the guise of a saint who assures her that he would bring the King back to her. He catches her red-handed with her gang of spies, and signals to the hidden soldiers to surround her. She kills herself preferring a dignifying death, and Raman wishes to leave for Delhi to convince emperor Babur from sending his elephantry to support the Sultanate in the war.
Raman reaches Delhi and meets Babur in the guise of an aged fakir and sings praises of him, until he empties all the gold coins he has. Babur then invites him to his palace to gift him properly. Raman goes to Babur's palace, and introduces himself as one of those innocent citizens of the Vijayanagara empire who shall suffer if Babur extends his support to the unjust Sultanate. Babur is convinced and calls off his elephantry back. Dismayed at the sudden turn of events, the Sultanate call off the war. Krishnadevaraya learns about Raman's efforts in stopping the war from Appaji. Remorseful, Krishnadevaraya invites Raman to rejoin the court, to which he agrees gladly."
920,Thomasleeha,"The film tells the story of St. Thomas the Apostle who reached the Malabar Coast in AD 52 to spread the Gospel among the Jews and locals who are today known as Saint Thomas Christians or Nasranis. He eventually established the Ezharappallikal or Seven and Half Churches in Kerala. These churches are at Kodungallur, Palayoor, Kottakkavu (Paravur), Kokkamangalam, Niranam, Nilackal (Chayal), Kollam and Thiruvithamcode (half church). He became a martyr in AD 72, at St. Thomas Mount near Mylapore, Chennai."
921,Tulasi Apa,"Born and brought up in a tribal region of Odisha, 'Padmashri' Tulasi Munda did not allow the poverty, illiteracy and un-development of her locality to dishearten her, discourage her or dampen her spirit. She took a humble step to educate her fellow beings, which grew into a huge movement. Be it urban-rural divide or conflict of mines-owner and workers or exploitation of the have-nots by the haves, Tulasi Munda protested each and every act of injustice and discrimination and turned the tide in favour of her fellow beings.
The film encapsulates the essence of Tulasi Munda's life. It enumerates her struggle and highlights her achievements."
922,Vangaveeti (film),"Set up in the 1970s Vijayawada, Vangaveeti Ranga's elder brother, Vangaveeti Radha also known as ""Bustand Radha"", gets associated with Communist Party of India, secretary for Vijayawada, Venkata Rathnam. After few years, conflicts arise between Venkata Rathnam, and Vangaveeti Radha, to get a hold on the Vijayawada transport business, dominated by the followers of Venkata Rathnam.
In 1972, Venkata Rathnam was murdered by Vangaveeti Radha and his supporters. These events, in turn, leads to the retaliation by a rival group, and the murder of Vangaveeti Radha. Upon the death of Vangaveeti Radha, his brother Mohana Ranga takes over the leadership of United independent Organization with the support of student union leaders Devineni Gandhi, and Devineni Nehru.
However, leadership issues and power struggles between politically powerful Mohana Ranga, and the Devineni Family leads to the splitting of the United independent organization, and in retaliation, Mohana Ranga's associate's murder Devineni Gandhi in 1979. At this juncture, Mohana Ranga's political career begins in 1981, when he contests in the municipal election when the Indian National Congress Party withdrew its official candidate in his favour. Later, his rival in the district, Nehru, gets sponsored by the Telugu Desam Party (TDP), which was dominated by the Kamma caste, while Ranga becomes a leader from Kapu community and stood for downtrodden. Ranga becomes an MLA for the Congress Party in 1985; Nehru becomes a TDP MLA, and eventually a minister.
Starting in 1983, both leaders implicate themselves in gang warfare, which was fed by caste rivalry between Kamma and Kapu; while N. T. Rama Rao was at the time the first Kamma chief minister of Andhra Pradesh. In 1988, Devineni Nehru's younger brother, Devineni Murali, was murdered by Mohana Ranga's associates in retaliation for his killings of few Ranga's associates. Subsequently, while on a hunger strike in support of issues of farmers, a group of men led by political rivals  in the region, attack Mohana Ranga's camp in the early hours of 25 December 1988."
923,Veerappan (2016 film),"Koose Muniswamy Veerappan, during his teenage starts working as an assistant to his relative Sevi Gounder, a notorious poacher and sandalwood smuggler. His father and relatives, whose village lay in the forest area, were also known to be poachers and smugglers. Veerappan (Sandeep Bharadwaj), dominant in Sathyamangalam Forest in the states of Tamil Nadu and Karnataka, 
defies the governments, and Indian Border security paramilitary forces, and maintain a small army. He is wanted for killing approximately 184 people, about half of whom were police officers, including senior police and forest officials. He was also wanted for poaching about 200 elephants and smuggling ivory worth US$2,600,000 and about 10,000 tonnes of sandalwood worth approximately US$22,000,000.
In 1991, Veerappan and his chief Intel Gandhi, behead IFS Officer P. Srinivas. Years later, Veerappan avenges the death of his close associate Gandhi by misleading Special Task Force (STF) personnel in their covert operation, through Gandhi's unnamed notorious informer. The covert mission led by T. Harikrishna S.P., and his informer S.I. Shakeel Ahmed to kill Veerappan fails miserably. Veerappan and his army brutally assassinate all the STF officers in the operation and snatch their arms.
The Tamil Nadu STF chief K. Vijay Kumar I.P.S. appoints his associate, an undercover I.P.S. spy in the Karnataka region, a master-strategist (Sachiin J Joshi), who puts in place the Operation Cocoon through a network of tribals, and informers, such as a Deputy spy, a woman STF spy and landlord (Lisa Ray), who befriends and rents out house to Muthulakshmi-the wife of Veerappan (Usha Jadhav). On the other hand, a team of loyal undercover cops led by Rambo Krishna, leave Palar base of STF, near M. M. Hills, 100 kilometres (62 mi) from Kollegal of Karnataka along with a team of 41 members which includes police from two states, forest officials, forest watchers and informers. The team travels in two vehicles, of which one is a bus carrying most of the team members, and a jeep carrying K. Gopalakrishnan, the IPS officer. Veerappan's gang plants landmines on the road in more than 14 places to halt their approach, and during the Palar blast, K. Gopalakrishnan, standing on the footboard of the jeep, is thrown out, and suffer severe injuries, leaving the police to retaliate and ultimately prevent the snatching of arms.
After few failed attempts, including the one led by another undercover cop, disguised as a subordinate to Islamic underworld don - Kadaani, to negotiate an arms deal with Veerappan's gang, the STF team led by master-strategist, and an ex-spy turned timberyard owner-Kumar, finally succeed on 18 October 2004. On that day, Veerappan is escorted out of the forest by Kumar, who earlier infiltrates Veerappan's gang in disguise to negotiate another arms deal with Velupillai Prabhakaran. Subsequently, Veerappan and his men board an ambulance stationed at Papparapatti village in Dharmapuri district. Veerappan and his men are first warned and then asked to surrender, which was denied, and the men start firing at the STF personnel. The STF retaliate by firing grenades and gunfire, subsequently, Veerappan and his men are killed on the spot."
924,Veeraputhran,"The film is about the eventful history of Malabar during India's independence struggle. The film primarily focusses on the life of Mohammed Abdul Rahiman, a freedom fighter and Congress leader, known for leading the Khilafat Movement. It covers the period in Malabar history starting with the arrival of Abdul Rahiman in Kerala at the age of 23, after discontinuing his education in Aligarh, up to his demise in 1945. The story travels through Rahiman Sahib's desperate failure in the election of 1934, the thrilling win that reclaims his position in the election of 1937, and the departure of his soul mate, whose wardrobe he carries with him as an un-detachable remembrance."
925,Vipra Narayana,"Vipra Narayana, a staunch devotee of Vishnu, lives in a hermitage on the banks of the river Kaveri along with his disciple Rangaraju. He worships Vishnu in the form of Ranganatha, the presiding deity of the nearby Srirangam temple. Every day, Narayana makes garlands out of flowers from his garden and offers them to Ranganatha, and sings hymns in praise of him.
One day, Devadevi, a devadasi, performs a dance recital at the court of the Chola King and is on her way back to home along with her sister Madhuravani. When Devadevi passes through the hermitage, Narayana does not notice her; this hurts Devadevi's vanity. She mistakes his devotion towards Ranganatha as arrogance and decides to teach him a lesson, ignoring Madhuravani's advice.
Devadevi enters Narayana's hermitage as an orphan and narrates her woes, requesting a stay to support herself. Narayana agrees despite Rangaraju's objection and Devadevi becomes the former's disciple. In a turn of events, Rangaraju is expelled from the hermitage when he tries to send Devadevi away after realizing her intentions. As time passes, Narayana finds himself attracted to Devadevi and falls for her charms.
Once her ego is satisfied, Devadevi begins to regret her actions. Madhuravani asks her to return and Narayana follows them. Devadevi's mother Rangasani, upon knowing that Narayana is penniless, throws him away. To help Narayana win, Ranganatha visits Devadevi's house in the disguise of Rangaraju. He presents a golden vessel from the kitchen of Srirangam temple as a gift from Narayana to Devadevi.
The next day, the priests at the temple complain that the golden vessel is missing and find it at Devadevi's house. Narayana is accused of stealing the vessel and is produced in court. The King orders that Narayana's hands be amputated as a punishment for theft. Ranganatha appears at the scene and reveals the truth. Ranganatha adds that Narayana is an incarnation of Vyjayanthi, a garland that adorns him at his heavenly abode Vaikuntha, and that Devadevi is a gandharva who took a human birth due to a curse. Narayana and Devadevi visit Srirangam temple and sing praises of the deity, before attaining salvation."
